duplicate_group,sha256,copy_count,members
D0137,294b25d6be1b5ebab084d69e6e01c2bf0df3715d265dc02485757c04fada0c98,2,Z001348:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/10_TESTS/language_drift_test.md || Z001813:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/10_TESTS/language_drift_test.md
D0138,29532213cc1b36693606703decb96590f2442e3a21238c74e591a929ad5f4b9f,2,Z001235:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/00_START_HERE/LICENSE_AND_IP.md || Z001981:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/00_START_HERE/LICENSE_AND_IP.md
D0139,298d8bb18fc13bdbb4ed94d0d22267b3212ddc622b3cc58c6033c8be9ea7f8bc,2,Z000878:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-002-effect-granularity/outputs/eager_full_projection.json || Z002270:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-002-effect-granularity/outputs/eager_full_projection.json
D0140,2a045838675681b93cb85d75d4e240b3b9508ef763a0102fadfae0028cd84c97,2,Z000805:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Flowness-Harness-Cognitive-Engineering-v0.1(1).zip!/Flowness-Harness-Cognitive-Engineering-v0.1/SOURCES.md || Z002421:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/SOURCES.md
D0141,2acf22570e3b150fd156e3414e7b2977d44308c3b545a9cac0dbd8ff077dbf40,3,Z001436:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.2/expanded/PRSE-AI-Native-SpecKit_v0.2/06_projects/summon/project.manifest.yaml || Z001917:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.2/PRSE-AIσÄƒτöƒΦºäµá╝Φ┐ÉΦíîσîà_v0.2_σÉ½σÅ¼Θ¢åσÅ░σÅéΦÇâσ«₧τÄ░.zip!/PRSE-AI-Native-SpecKit_v0.2/06_projects/summon/project.manifest.yaml || Z001938:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.2/expanded/PRSE-AI-Native-SpecKit_v0.2/06_projects/summon/project.manifest.yaml
D0142,2ad62982c5d8d5acefbd16289370b1d2b50ba3dba62d3c3ba91408a440abb3e4,4,Z001201:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_Flagship_Experiment_Chief_Research_Absorption.zip!/04_DESIGN_DELTA.md || Z001469:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/flagship_absorption/04_DESIGN_DELTA.md || Z001653:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Towow_A2A_Flagship_Experiment_Chief_Research_Absorption/04_DESIGN_DELTA.md || Z002543:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/core_sources/µùùΦê░σ«₧Θ¬îΘªûσ╕¡σÉ╕µö╢/04_DESIGN_DELTA.md
D0143,2b8e039b222ef710247f5db108ba7611ebe77351ae4d7c774af7c2f14fb032ce,2,Z001115:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗σìÅΦ«« Φ«╛Φ«íΦ»¡µûÖσ║ô v1.5 τ╗êσîà.zip!/towow-protocol-design-pack-v1/22-B7_σ«₧Θ¬îΦºäµá╝.md || Z002458:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/ΘÇÜτê╗σìÅΦ«« Φ«╛Φ«íΦ»¡µûÖσ║ô v1.5 τ╗êσîà/towow-protocol-design-pack-v1/22-B7_σ«₧Θ¬îΦºäµá╝.md
D0144,2b9b87d5acc67f1457eb71f477b22f99f2fba1e14243fc7c7078cffee3ac2182,2,Z000840:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/code_changes/source/action_space_probe.py || Z002217:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/code_changes/source/action_space_probe.py
D0145,2cae9fb879b644c3ff97c1abbd0e78a02eface3f7bae02f36046ed054845580e,2,Z000968:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/tampered_public/producer.ed25519.public || Z002321:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/tampered_public/producer.ed25519.public
D0146,2cf2314181916ce6468548290cbe0dfd6b6c54a917c7c5dc50ebf1706bd3ce9c,3,Z001059:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗_A2A_τ¼¼Σ║îΦ╜«τáöτ⌐╢_σ«îµò┤τáöτ⌐╢σîà(1).zip!/towow_round2_release/figures/ideal_vs_reality.png || Z001612:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/ΘÇÜτê╗_A2A_τ¼¼Σ║îΦ╜«τáöτ⌐╢_σ«îµò┤τáöτ⌐╢σîà(1)/towow_round2_release/figures/ideal_vs_reality.png || Z002665:02_WORKSPACE_SNAPSHOT/Towow_正式统一论文_v1.0_完整包.zip!/Towow_Formal_Unified_Paper_v1.0/figures/ideal_vs_reality.png
D0147,2d3845c46eabcd2bf43a582a15ad5d2ab5fbc5c900401558243a2e7a264c841b,2,Z000847:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-001-evidence-reachability/boundary_and_disclosure.json || Z002261:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-001-evidence-reachability/boundary_and_disclosure.json
D0148,2d694dceba9c555c04981f145d14db96943f54a0b17d4bc02bf051dcd4d6580e,2,P0153:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7_release/experiments/archival_three_mechanism_replay/REPORT.md || Z000396:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/experiments/archival_three_mechanism_replay/REPORT.md
D0149,2d7223d9f157198c8ceeee04e63d1531b6ee12d73eb15db7519ce125ef4d6966,2,P0209:02_WORKSPACE_SNAPSHOT/Towow_v1.2_Decision_Program/evidence/decision_ledger.csv || Z002624:02_WORKSPACE_SNAPSHOT/Towow_v1.2_Decision_Program.zip!/Towow_v1.2_Decision_Program/evidence/decision_ledger.csv
D0150,2e064989a8afc8c96ac3a3cf4e3d94156de174b216ed5fa7c90fba4bedca24a6,2,Z001345:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/10_TESTS/change_propagation_test.md || Z001809:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/10_TESTS/change_propagation_test.md
D0151,2e35f37e1a8d48f8391b092287f5db1a511f7ad43a60556b406c4763565817f8,3,Z000112:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/archival_cases/sidewalk_toronto/CASE_REPORT.md || Z000363:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/archival_cases/sidewalk_toronto/CASE_REPORT.md || Z000685:02_WORKSPACE_SNAPSHOT/Towow_A2A_Public_Evidence_Pack_v0.6.zip!/Towow_A2A_Public_Evidence_Pack_v0.6/archival_cases/sidewalk_toronto/CASE_REPORT.md
D0152,2e5a702f9de5786228fe94b0c8009f7022afb79cb1b682cb8bbd920e628a9d8d,2,Z001046:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗_A2A_τ¼¼Σ║îΦ╜«τáöτ⌐╢_σ«îµò┤τáöτ⌐╢σîà(1).zip!/towow_round2_release/results/trust_concurrency_summary.csv || Z001638:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/ΘÇÜτê╗_A2A_τ¼¼Σ║îΦ╜«τáöτ⌐╢_σ«îµò┤τáöτ⌐╢σîà(1)/towow_round2_release/results/trust_concurrency_summary.csv
D0153,2eda2ddda85428ce13c5ea90b1fc643484da9bca9dca6919496d23234c260cc3,2,Z000869:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-002-effect-granularity/logs/explicit_refusal.stdout.log || Z002285:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-002-effect-granularity/logs/explicit_refusal.stdout.log
D0154,2fabffcbd6dabcfd99f07fd20fb57070aa1e431077a077e8d20e0bffd19b7ee9,2,Z001285:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/04_SKILLS/cards/spec_audit.skill.yaml || Z002023:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/04_SKILLS/cards/spec_audit.skill.yaml
D0155,3084e816435d31ec667347cabcf7d1fd9534c3195e476cfa110ceae819077ea1,3,P0218:02_WORKSPACE_SNAPSHOT/通爻_主权代理操作系统_统一论文_v0.7.docx || Z000518:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/paper/通爻_主权代理操作系统_统一论文_v0.7.docx || Z002657:02_WORKSPACE_SNAPSHOT/Towow_正式统一论文_v1.0_完整包.zip!/Towow_Formal_Unified_Paper_v1.0/legacy_v0.7/ΘÇÜτê╗_Σ╕╗µ¥âΣ╗úτÉåµôìΣ╜£τ│╗τ╗ƒ_τ╗ƒΣ╕ÇΦ«║µûç_v0.7.docx
D0156,30ccf740f6abb19b596a7e79b9cd0012caed13585a8c2acd7b6202a1d40fca2b,2,Z000236:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/public_evidence/archival_contrast/coding_schema.json || Z000540:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/public_evidence/archival_contrast/coding_schema.json
D0157,31403fde5285ce077dc0601738d48bf56872406b14145684d8a6bf0395cda536,2,Z000818:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Flowness-Harness-Cognitive-Engineering-v0.1(1).zip!/Flowness-Harness-Cognitive-Engineering-v0.1/Flowness-Harness-Φ«ñτƒÑσ╖Ñτ¿ïµÇ╗µûçµíú-v0.1.md || Z002419:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/Flowness-Harness-Φ«ñτƒÑσ╖Ñτ¿ïµÇ╗µûçµíú-v0.1.md
D0158,3211252d292eed485b38e3eca57ac5e5a10881cdd0be84af9f86b31d0102e3f6,4,Z000049:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip!/Towow_A2A_Independent_Research_v0.4/instrument/templates/README.md || Z000195:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/instrument/templates/README.md || Z000495:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/instrument/templates/README.md || Z000739:02_WORKSPACE_SNAPSHOT/Towow_A2A_R7_Field_Pack_v0.4.zip!/Towow_A2A_R7_Field_Pack_v0.4/instrument/templates/README.md
D0159,326f27d6f4a0a72b662ac624649a851d670b7e6a7990f3a121069a29abe8ecf7,2,Z001319:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/07_ARTIFACTS/templates/ChangeSet.md || Z001960:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/07_ARTIFACTS/templates/ChangeSet.md
D0160,336be264804f016d1d54f815bc8059b7e29325e2739af535e7da0c5e66d96ce7,2,Z001103:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗σìÅΦ«« Φ«╛Φ«íΦ»¡µûÖσ║ô v1.5 τ╗êσîà.zip!/towow-protocol-design-pack-v1/10-σƒïτé╣ΦºäΦîâv1.md || Z002478:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/ΘÇÜτê╗σìÅΦ«« Φ«╛Φ«íΦ»¡µûÖσ║ô v1.5 τ╗êσîà/towow-protocol-design-pack-v1/10-σƒïτé╣ΦºäΦîâv1.md
D0161,33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09,8,Z000035:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip!/Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/versions/v0001.json || Z000045:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip!/Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/versions/v0001.json || Z000181:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/instrument/sample_case/case/shared/relation/versions/v0001.json || Z000191:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/instrument/sample_case/redacted_export/shared/relation/versions/v0001.json || Z000481:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/instrument/sample_case/case/shared/relation/versions/v0001.json || Z000491:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/instrument/sample_case/redacted_export/shared/relation/versions/v0001.json || Z000762:02_WORKSPACE_SNAPSHOT/Towow_A2A_R7_Field_Pack_v0.4.zip!/Towow_A2A_R7_Field_Pack_v0.4/instrument/sample_case/case/shared/relation/versions/v0001.json || Z000772:02_WORKSPACE_SNAPSHOT/Towow_A2A_R7_Field_Pack_v0.4.zip!/Towow_A2A_R7_Field_Pack_v0.4/instrument/sample_case/redacted_export/shared/relation/versions/v0001.json
D0162,3427beb2b4108856a769c9ffd94f1036415af506d08642e18a24013d108cbb9c,3,Z000111:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/archival_cases/sgma_coordination/case.json || Z000362:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/archival_cases/sgma_coordination/case.json || Z000684:02_WORKSPACE_SNAPSHOT/Towow_A2A_Public_Evidence_Pack_v0.6.zip!/Towow_A2A_Public_Evidence_Pack_v0.6/archival_cases/sgma_coordination/case.json
D0163,349378b83dc3bf7a50ab4d944b8a3b5a5e2ea0e525c9b10b26370a4f345a4d77,2,Z000812:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Flowness-Harness-Cognitive-Engineering-v0.1(1).zip!/Flowness-Harness-Cognitive-Engineering-v0.1/appendices/F-σ╖Ñτ¿ïΦ┤ƒΦ┤úΣ║║Φâ╜σè¢Σ╕ÄΦ┤úΣ╗╗Φ╛╣τòî.md || Z002450:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Flowness-Harness-Cognitive-Engineering-v0.1(1)/Flowness-Harness-Cognitive-Engineering-v0.1/appendices/F-σ╖Ñτ¿ïΦ┤ƒΦ┤úΣ║║Φâ╜σè¢Σ╕ÄΦ┤úΣ╗╗Φ╛╣τòî.md
D0164,350e5e6c6896ad24177ee062844e854bb76642213212e9c619326c79df152db9,2,Z001014:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-004-sovereign-workspace/outputs/tampered_public/report.sig || Z002302:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-004-sovereign-workspace/outputs/tampered_public/report.sig
D0165,354d4eb912f92033520582e944438be3fbb68d5ecc677ba1ca5b8a2db5dc40ce,2,Z001026:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/git/commits.txt || Z002237:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/git/commits.txt
D0166,3579a590c9a2e9be4897ae06af7d96e4f8bdab14d87791db90c30d9a05aa37dd,2,Z000203:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/instrument/towow_fieldkit/README.md || Z000503:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/instrument/towow_fieldkit/README.md
D0167,3582da6ce0a962e9dfca9ce5d3e12513fe01a9b15cb11428e530981c2fa0c17f,3,Z001402:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/09_language/language_architecture.md || Z001837:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/PRSE-OS_v0.1_µû╣µ│òΦ«║Φ┐ÉΦíîσîà.zip!/PRSE-OS_v0.1/09_language/language_architecture.md || Z001860:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/09_language/language_architecture.md
D0168,35b63769e84474bc0fb7b924a0960c178c642bbdd908757d40d209bf1cbdb865,4,Z001082:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗_A2A_τ╗ƒΣ╕ÇΦ«║µûç_µ║ÉµûçΣ╗╢Σ╕ÄΦ»üµì«Φ┤ªµ£¼.zip!/source_package/figures/fig5_two_regime.png || Z001500:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/unified_source_package/figures/fig5_two_regime.png || Z001529:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/unified_paper_figures/fig5_two_regime.png || Z002676:02_WORKSPACE_SNAPSHOT/Towow_正式统一论文_v1.0_完整包.zip!/Towow_Formal_Unified_Paper_v1.0/figures/fig5_two_regime.png
